Key,File,Type,UsedInMainMenu,english
AECSheriffBoss,entityclasses,Entity,false,"The Sheriff"
AECSheriffWolfMinion01,entityclasses,Entity,false,"Sheriff Hellhound"
AECSheriffMinion02,entityclasses,Entity,false,"Sheriff Deputy"
AECSheriffBossT03,entityclasses,Entity,false,"The Sheriff T03"
AECSheriffBossT06,entityclasses,Entity,false,"The Sheriff T06"
AECSheriffBossT09,entityclasses,Entity,false,"The Sheriff T09"
AECSheriffBossT12,entityclasses,Entity,false,"The Sheriff T12"
AECSheriffBossT15,entityclasses,Entity,false,"The Sheriff T15"
AECSheriffWolfMinion01T03,entityclasses,Entity,false,"Sheriff Hellhound T03"
AECSheriffWolfMinion01T06,entityclasses,Entity,false,"Sheriff Hellhound T06"
AECSheriffWolfMinion01T09,entityclasses,Entity,false,"Sheriff Hellhound T09"
AECSheriffWolfMinion01T12,entityclasses,Entity,false,"Sheriff Hellhound T12"
AECSheriffWolfMinion01T15,entityclasses,Entity,false,"Sheriff Hellhound T15"
AECSheriffMinion02T03,entityclasses,Entity,false,"Sheriff Deputy T03"
AECSheriffMinion02T06,entityclasses,Entity,false,"Sheriff Deputy T06"
AECSheriffMinion02T09,entityclasses,Entity,false,"Sheriff Deputy T09"
AECSheriffMinion02T12,entityclasses,Entity,false,"Sheriff Deputy T12"
AECSheriffMinion02T15,entityclasses,Entity,false,"Sheriff Deputy T15"
AECSheriffBossLootBag,entityclasses,Entity,false,"Sheriff Boss Loot Bag"
AECSheriffMinionLootBag,entityclasses,Entity,false,"Sheriff Minion Loot Bag"
AECSheriffBossLootBagT03,entityclasses,Entity,false,"Sheriff Boss Loot Bag T03"
AECSheriffBossLootBagT06,entityclasses,Entity,false,"Sheriff Boss Loot Bag T06"
AECSheriffBossLootBagT09,entityclasses,Entity,false,"Sheriff Boss Loot Bag T09"
AECSheriffBossLootBagT12,entityclasses,Entity,false,"Sheriff Boss Loot Bag T12"
AECSheriffBossLootBagT15,entityclasses,Entity,false,"Sheriff Boss Loot Bag T15"
AECSheriffMinionLootBagT03,entityclasses,Entity,false,"Sheriff Minion Loot Bag T03"
AECSheriffMinionLootBagT06,entityclasses,Entity,false,"Sheriff Minion Loot Bag T06"
AECSheriffMinionLootBagT09,entityclasses,Entity,false,"Sheriff Minion Loot Bag T09"
AECSheriffMinionLootBagT12,entityclasses,Entity,false,"Sheriff Minion Loot Bag T12"
AECSheriffMinionLootBagT15,entityclasses,Entity,false,"Sheriff Minion Loot Bag T15"
itemAECSheriffArm,,,,"[FF0000]AEC[-] [C05046]Sheriff Arm[-]"
itemAECSheriffArm_desc,,,,"A severed arm taken from the Sheriff boss. Burn marks and old leather still cling to it."
itemAECSheriffSkull,,,,"[FF0000]AEC[-] [C05046]Sheriff Skull[-]"
itemAECSheriffSkull_desc,,,,"The scorched skull of the Sheriff boss. It is blackened by fire and heavy with ash."
itemAECSheriffHeart,,,,"[FF0000]AEC[-] [C05046]Sheriff Heart[-]"
itemAECSheriffHeart_desc,,,,"A rare heart ripped from the Sheriff boss. It stays hot long after the fight ends."
itemAECSheriffMinionPart,,,,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part[-]"
itemAECSheriffMinionPart_desc,,,,"A butchered piece taken from one of the Sheriff's minions. Traders still pay for enough of them."
itemAECSheriffMinionPart1star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 1 Star[-]"
itemAECSheriffMinionPart1star_desc,,, ,"A 1-star sheriff minion trophy part. Traders pay more than for the base part."
itemAECSheriffMinionPart2star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 2 Stars[-]"
itemAECSheriffMinionPart2star_desc,,, ,"A 2-star sheriff minion trophy part. Better preserved and worth more to traders."
itemAECSheriffMinionPart3star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 3 Stars[-]"
itemAECSheriffMinionPart3star_desc,,, ,"A 3-star sheriff minion trophy part. Rare salvage from stronger sheriff minions."
itemAECSheriffMinionPart4star,,, ,"[FF0000]AEC[-] [B45A3C]Sheriff Minion Part 4 Stars[-]"
