Key,File,Type,UsedInMainMenu,english
eventAECAllInOnePair01_msg_T03,,,false,"Pair 1 incoming: Dumdum and Running K. [1★]"
eventAECAllInOnePair02_msg_T03,,,false,"Pair 2 incoming: Doomlord and the Witch. [1★]"
eventAECAllInOnePair03_msg_T03,,,false,"Pair 3 incoming: Electric Demon and Explosive Eagle. [1★]"
eventAECAllInOnePair04_msg_T03,,,false,"Pair 4 incoming: Hammer Guardian and Mechanician. [1★]"
eventAECAllInOnePair05_msg_T03,,,false,"Pair 5 incoming: Druid and Executioner. [1★]"
eventAECAllInOnePair06_msg_T03,,,false,"Pair 6 incoming: Party Beach and Mykir. [1★]"
eventAECAllInOnePair07_msg_T03,,,false,"Pair 7 incoming: Hellskyli and Rockbreaker. [1★]"
eventAECAllInOnePair08_msg_T03,,,false,"Pair 8 incoming: The Ghost and Singerie. [1★]"
eventAECAllInOnePair09_msg_T03,,,false,"Pair 9 incoming: Siren Head and Mushroom. [1★]"
eventAECAllInOnePair10_msg_T03,,,false,"Final pair incoming: Headless and Archer. [1★]"
itemAECAllInOneHuntContract_T03,,,false,"[FF4DFF]AEC |[-] [FFD700]The All-In-One Hunt[-] [1★]"
itemAECAllInOneHuntContract_desc_T03,,,false,"Legendary contract | deploy the All-In-One Lure and survive the full endgame boss gauntlet. Each pair is scheduled around a 120 second phase window. [1★]"
questAECAllInOneHunt_completion_T03,,,false,"The whole line came for you and broke on your position. [1★]"
questAECAllInOneHunt_description_T03,,,false,"This is the end of the line. Place the All-In-One Lure in the wilderness, hold the ground for the opening countdown, then eliminate every active boss pair in sequence. [1★]"
questAECAllInOneHunt_name_T03,,,false,"[FF0000]T[-][FF7F00]h[-][FFFF00]e[-] [00FF00]A[-][00BFFF]l[-][0000FF]l[-]-[8B00FF]I[-][FF1493]n[-]-[FF0000]O[-][FF7F00]n[-][FFFF00]e[-] [00FF00]H[-][00BFFF]u[-][0000FF]n[-][8B00FF]t[-] [1★]"
questAECAllInOneHunt_obj_pair01_T03,,,false,"Kill Dumdum and Running K [1★]"
questAECAllInOneHunt_obj_pair02_T03,,,false,"Kill Doomlord and the Witch [1★]"
questAECAllInOneHunt_obj_pair03_T03,,,false,"Kill Electric Demon and Explosive Eagle [1★]"
questAECAllInOneHunt_obj_pair04_T03,,,false,"Kill Hammer Guardian and Mechanician [1★]"
questAECAllInOneHunt_obj_pair05_T03,,,false,"Kill Druid and Executioner [1★]"
questAECAllInOneHunt_obj_pair06_T03,,,false,"Kill Party Beach and Mykir [1★]"
questAECAllInOneHunt_obj_pair07_T03,,,false,"Kill Hellskyli and Rockbreaker [1★]"
questAECAllInOneHunt_obj_pair08_T03,,,false,"Kill The Ghost and Singerie [1★]"
questAECAllInOneHunt_obj_pair09_T03,,,false,"Kill Siren Head and Mushroom [1★]"
questAECAllInOneHunt_obj_pair10_T03,,,false,"Kill Headless and Archer [1★]"
questAECAllInOneHunt_offer_T03,,,false,"You wanted every major threat in one place. Here it is. Plant the All-In-One Lure and be ready to stand there when the sky starts answering back. [1★]"
questAECAllInOneHunt_response_T03,,,false,"Then take the contract. If you finish it, there won't be a higher one left to offer. [1★]"
questAECAllInOneHunt_statement_T03,,,false,"Place the lure, survive the timed sequence, and kill every boss pair before the gauntlet reaches its final wave. [1★]"
questAECAllInOneHunt_subtitle_T03,,,false,"Deploy the All-In-One Lure and survive every boss pair [1★]"
eventAECAllInOnePair01_msg_T06,,,false,"Pair 1 incoming: Dumdum and Running K. [2★]"
eventAECAllInOnePair02_msg_T06,,,false,"Pair 2 incoming: Doomlord and the Witch. [2★]"
eventAECAllInOnePair03_msg_T06,,,false,"Pair 3 incoming: Electric Demon and Explosive Eagle. [2★]"
eventAECAllInOnePair04_msg_T06,,,false,"Pair 4 incoming: Hammer Guardian and Mechanician. [2★]"
eventAECAllInOnePair05_msg_T06,,,false,"Pair 5 incoming: Druid and Executioner. [2★]"
eventAECAllInOnePair06_msg_T06,,,false,"Pair 6 incoming: Party Beach and Mykir. [2★]"
eventAECAllInOnePair07_msg_T06,,,false,"Pair 7 incoming: Hellskyli and Rockbreaker. [2★]"
eventAECAllInOnePair08_msg_T06,,,false,"Pair 8 incoming: The Ghost and Singerie. [2★]"
eventAECAllInOnePair09_msg_T06,,,false,"Pair 9 incoming: Siren Head and Mushroom. [2★]"
eventAECAllInOnePair10_msg_T06,,,false,"Final pair incoming: Headless and Archer. [2★]"
itemAECAllInOneHuntContract_T06,,,false,"[FF4DFF]AEC |[-] [FFD700]The All-In-One Hunt[-] [2★]"
itemAECAllInOneHuntContract_desc_T06,,,false,"Legendary contract | deploy the All-In-One Lure and survive the full endgame boss gauntlet. Each pair is scheduled around a 120 second phase window. [2★]"
questAECAllInOneHunt_completion_T06,,,false,"The whole line came for you and broke on your position. [2★]"
questAECAllInOneHunt_description_T06,,,false,"This is the end of the line. Place the All-In-One Lure in the wilderness, hold the ground for the opening countdown, then eliminate every active boss pair in sequence. [2★]"
questAECAllInOneHunt_name_T06,,,false,"[FF0000]T[-][FF7F00]h[-][FFFF00]e[-] [00FF00]A[-][00BFFF]l[-][0000FF]l[-]-[8B00FF]I[-][FF1493]n[-]-[FF0000]O[-][FF7F00]n[-][FFFF00]e[-] [00FF00]H[-][00BFFF]u[-][0000FF]n[-][8B00FF]t[-] [2★]"
